playerID,Player_Name,Age,Team_ID,Role,Batting_Skill,Bowling_Skill,Fielding_Skill,Is_Substitute,Is_Wicketkeeper
1,Virat Kohli,37,,Batsman,95,15,85,,
2,Rohit Sharma,39,,Batsman,93,20,75,,
3,Jasprit Bumrah,32,,Bowler,10,97,60,,
4,Shubman Gill,26,,Batsman,88,10,82,,
5,Yashasvi Jaiswal,24,,Batsman,86,15,78,,
6,Rishabh Pant,28,,Wicketkeeper-Batsman,87,5,80,,
7,KL Rahul,34,,Batsman,85,10,79,,
8,Hardik Pandya,32,,All-Rounder,80,78,82,,
9,Ravindra Jadeja,37,,All-Rounder,75,85,95,,
10,Kuldeep Yadav,31,,Bowler,15,88,55,,
11,Mohammed Siraj,32,,Bowler,8,85,58,,
12,Arshdeep Singh,27,,Bowler,5,84,55,,
13,Ravichandran Ashwin,39,,All-Rounder,55,92,60,,
14,Suryakumar Yadav,35,,Batsman,90,5,83,,
15,Axar Patel,32,,All-Rounder,65,83,75,,
16,Shreyas Iyer,31,,Batsman,82,10,72,,
17,Sanju Samson,31,,Wicketkeeper-Batsman,83,5,78,,
18,Mohammed Shami,35,,Bowler,10,90,50,,
19,Bhuvneshwar Kumar,36,,Bowler,20,82,60,,
20,Ishan Kishan,28,,Wicketkeeper-Batsman,78,5,75,,
21,Abhishek Sharma,25,,All-Rounder,79,65,73,,
22,Nitish Kumar Reddy,23,,All-Rounder,76,70,72,,
23,Varun Chakravarthy,34,,Bowler,10,86,45,,
24,Joe Root,35,,Batsman,92,35,80,,
25,Harry Brook,27,,Batsman,87,10,76,,
26,Ben Stokes,35,,All-Rounder,84,80,85,,
27,Jos Buttler,35,,Wicketkeeper-Batsman,89,5,82,,
28,Jonny Bairstow,36,,Batsman,83,5,70,,
29,Pat Cummins,33,,Bowler,30,93,65,,
30,Steve Smith,37,,Batsman,91,20,78,,
31,Travis Head,32,,Batsman,86,25,77,,
32,Marnus Labuschagne,32,,Batsman,88,30,75,,
33,Mitchell Starc,36,,Bowler,25,91,55,,
34,Josh Hazlewood,35,,Bowler,12,90,58,,
35,Adam Zampa,34,,Bowler,8,85,55,,
36,Glenn Maxwell,37,,All-Rounder,82,72,88,,
37,Cameron Green,27,,All-Rounder,78,76,80,,
38,Babar Azam,31,,Batsman,94,10,82,,
39,Shaheen Afridi,26,,Bowler,10,91,50,,
40,Mohammad Rizwan,34,,Wicketkeeper-Batsman,86,5,80,,
41,Fakhar Zaman,36,,Batsman,81,5,68,,
42,Naseem Shah,23,,Bowler,8,84,48,,
43,Kane Williamson,35,,Batsman,90,20,80,,
44,Trent Boult,36,,Bowler,15,90,60,,
45,Devon Conway,35,,Batsman,84,5,75,,
46,Daryl Mitchell,35,,All-Rounder,80,65,78,,
47,Rashid Khan,27,,Bowler,45,92,75,,
48,Kagiso Rabada,31,,Bowler,10,92,55,,
49,Quinton de Kock,33,,Wicketkeeper-Batsman,87,5,78,,
50,Marco Jansen,26,,All-Rounder,40,84,65,,
